time_utc,region,source,event,buyer,target,percent,title,link
2026-01-20T21:56:12.495645+00:00,US,SEC,8-K,,,,"8-K - Sculptor Diversified Real Estate Income Trust, Inc. (0001914496) (Filer)",https://www.sec.gov/Archives/edgar/data/1914496/000191449626000006/0001914496-26-000006-index.htm
2026-01-20T21:56:12.495707+00:00,US,SEC,8-K,,,,"8-K - FVCBankcorp, Inc. (0001675644) (Filer)",https://www.sec.gov/Archives/edgar/data/1675644/000167564426000002/0001675644-26-000002-index.htm
2026-01-20T21:43:44.661750+00:00,US,SEC,8-K,,,,"8-K - ONE Gas, Inc. (0001587732) (Filer)",https://www.sec.gov/Archives/edgar/data/1587732/000158773226000002/0001587732-26-000002-index.htm
2026-01-20T21:43:44.661810+00:00,US,SEC,8-K,,,,8-K - FORTRESS CREDIT REALTY INCOME TRUST (0002026738) (Filer),https://www.sec.gov/Archives/edgar/data/2026738/000119312526016694/0001193125-26-016694-index.htm
2026-01-20T21:43:44.661820+00:00,US,SEC,8-K,,,,8-K - COMMUNITY HEALTH SYSTEMS INC (0001108109) (Filer),https://www.sec.gov/Archives/edgar/data/1108109/000119312526016693/0001193125-26-016693-index.htm
2026-01-20T21:43:44.661827+00:00,US,SEC,8-K,,,,"8-K - DoorDash, Inc. (0001792789) (Filer)",https://www.sec.gov/Archives/edgar/data/1792789/000179278926000003/0001792789-26-000003-index.htm
2026-01-20T21:43:44.661836+00:00,US,SEC,8-K,,,,8-K - Infinite Eagle Acquisition Corp. (0002084396) (Filer),https://www.sec.gov/Archives/edgar/data/2084396/000121390026005697/0001213900-26-005697-index.htm
2026-01-20T21:43:44.661840+00:00,US,SEC,8-K,,,,8-K - D-Wave Quantum Inc. (0001907982) (Filer),https://www.sec.gov/Archives/edgar/data/1907982/000162828026002652/0001628280-26-002652-index.htm
2026-01-20T21:43:44.661857+00:00,US,SEC,8-K,,,,8-K - Kraft Heinz Co (0001637459) (Filer),https://www.sec.gov/Archives/edgar/data/1637459/000110465926005094/0001104659-26-005094-index.htm
2026-01-20T21:02:18.681550+00:00,US,SEC,8-K,,,,"8-K - Astera Labs, Inc. (0001736297) (Filer)",https://www.sec.gov/Archives/edgar/data/1736297/000110465926005022/0001104659-26-005022-index.htm
2026-01-20T21:02:18.681578+00:00,US,SEC,8-K,,,,8-K - PMGC Holdings Inc. (0001840563) (Filer),https://www.sec.gov/Archives/edgar/data/1840563/000121390026005641/0001213900-26-005641-index.htm
2026-01-20T21:02:18.681586+00:00,US,SEC,8-K,,,,8-K - HARVARD BIOSCIENCE INC (0001123494) (Filer),https://www.sec.gov/Archives/edgar/data/1123494/000117184326000343/0001171843-26-000343-index.htm
2026-01-20T21:02:18.681631+00:00,US,SEC,8-K,,,,8-K - HANCOCK WHITNEY CORP (0000750577) (Filer),https://www.sec.gov/Archives/edgar/data/750577/000119312526016535/0001193125-26-016535-index.htm
2026-01-20T20:35:46.323008+00:00,US,SEC,8-K,,,,8-K - SAN JUAN BASIN ROYALTY TRUST (0000319655) (Filer),https://www.sec.gov/Archives/edgar/data/319655/000119312526016501/0001193125-26-016501-index.htm
2026-01-20T16:01:13.712231+00:00,US,SEC,8-K,,,,8-K - PERMIAN BASIN ROYALTY TRUST (0000319654) (Filer),https://www.sec.gov/Archives/edgar/data/319654/000119312526016178/0001193125-26-016178-index.htm
2026-01-20T16:01:13.712265+00:00,US,SEC,8-K,,,,"8-K - Tharimmune, Inc. (0001861657) (Filer)",https://www.sec.gov/Archives/edgar/data/1861657/000149315226002787/0001493152-26-002787-index.htm
2026-01-20T16:01:13.712291+00:00,US,SEC,8-K,,,,"8-K - Dalrada Technology Group, Inc. (0000725394) (Filer)",https://www.sec.gov/Archives/edgar/data/725394/000168316826000410/0001683168-26-000410-index.htm
2026-01-20T15:02:14.048847+00:00,US,SEC,8-K,,,,8-K - Federal Home Loan Bank of Indianapolis (0001331754) (Filer),https://www.sec.gov/Archives/edgar/data/1331754/000133175426000011/0001331754-26-000011-index.htm
